ID,Company_Name,Twitter_Account
1,Amazon.com,Amazon
2,Tesla,tesla
3,Apple,apple
4,Nike,Nike
5,Express Scripts,null
6,Microsoft,Microsoft
7,Facebook,facebook
8,Kanetix,Kanetix
9,Netflix,netflix
10,The Walt Disney Company,Disney
11,BMW,bmw
12,Volkswagen,null
13,Google,Google
14,Starbucks,Starbucks
15,Uber,uber
16,Adidas Group,adidasGroupblog
17,Chanel,CHANEL
18,Nestl�,Nestle
19,Siemens,siemens
20,Liquid Web,LiquidWeb
21,IBM,IBM
22,Sony,sony_jpn
23,JPMorgan Chase,Chase
24,Stellantis,Stellantis
25,Ikea,IKEANederland
26,Intel,null
27,Johnson & Johnson,JNJNews
28,Pfizer,pfizer
29,Marriott International,MarriottIntl
30,Airbus,AirbusGroup
31,Unilever,Unilever
32,Ford Motor,Ford
33,Samsung Electronics,samsungtomorrow
34,AT&T,ATT
35,L'Or�al,Loreal
36,Thales,thalesgroup
37,Accenture,accenture
38,LVMH,LVMH
39,Pepsico,PepsiCo
40,Publicis Health Media,PHM_Moments
41,Royal Dutch Shell,shell
42,Coca-Cola,CocaCola
43,SpaceX,spacex
44,HSBC,null
45,Wells Fargo,WellsFargo
46,Alibaba Group,AlibabaTalk
47,P&G,ProcterGamble
48,Mercedes-Benz,MercedesBenz
49,H&M,hm
50,Airbnb,null
51,McDonald's,McDonalds
52,Bosch,null
53,Carrefour,CarrefourFrance
54,Cisco,Cisco
55,Audi,Audi_Online
56,GE,generalelectric
57,Danone,DanoneGroup
58,Boeing,Boeing
59,Salesforce.com,salesforce
60,Spotify,Spotify
61,Walmart,Walmart
62,Roche,roche
63,Alphabet Inc,Google
64,BBC,BBC
65,Sanofi,SanofiFR
66,Inditex,null
67,GM,GM
68,Oracle,oracle
69,Dell Technologies,Dell
70,Decathlon,null
71,Huawei Technologies,Huawei
72,Citigroup,citi
73,Philips,Philips
74,BP,BP_plc
75,Deutsche Bank,DeutscheBank
76,ExxonMobil,exxonmobil
77,Infosys,Infosys
78,UPS,UPS
79,Zywave,zywave
80,Shopee,null
81,Orange,Orange_France
82,Toyota Motor,toyota
83,Groupe Christian Dior,Dior
84,FedEx,FedExHelp
85,Costco Wholesale,null
86,American Express,AmericanExpress
87,Nintendo,NintendoAmerica
88,Louis Vuitton,LouisVuitton_FR
89,Vodafone Group,VodafoneGroup
90,Nissan Motor,NissanMotorCo
91,AccorHotels,null
92,GSK,gsk
93,Capgemini,Capgemini
94,PayPal,PayPal
95,Marks and Spencer Group,marksandspencer
96,Ferrero,FerreroRocherIT
97,Daimler,Daimler
98,Renault,Groupe_Renault
99,BNP Paribas,BNPParibas_com
100,Sephora,sephora
101,Lego,LEGO_Group
102,Bank of America,BofA_News
103,Delta Air Lines,delta
104,Asos,asos
105,ABB,ABBgroupnews
106,Zara,ZARA
107,Gucci,gucci
108,Zalando,zalando
109,Mondelez International,MDLZ_BR
110,AstraZeneca,AstraZeneca
111,AB InBev,ABInBevNews
112,Amazon Web Services,awscloud
113,3M,3MNews
114,Nokia,nokia
115,Instagram,instagram
116,Schneider Electric,SchneiderElec
117,Tata Consultancy Services,TCS_News
118,Axa,AXA
119,Engie,ENGIEgroup
120,Novartis,Novartis
121,American Airlines,americanair
122,Aecom,AECOM
123,Allianz SE,Allianz
124,CVS Health,cvshealth
125,Grab,null
126,Bayer,null
127,Hilton Worldwide,HiltonWorldwide
128,Wipro,Wipro
129,Sainsbury's,SainsburysPR
130,Honda Motor,Honda
131,HP Inc.,HP
132,AMD,amd
133,CMA CGM,CMA_CGM_Group
134,Nvidia,nvidia
135,Mars,Marsglobal
136,TikTok,null
137,Hewlett Packard Enterprise,null
138,Activision Blizzard,atvibliz
139,Red Bull,redbullAustria
140,KPMG,kpmg
141,Abbott,AbbottNews
142,SAP,SAP
143,Domino's Pizza,dominos
144,Home Depot,HomeDepot
145,Altia,null
146,JD Sports Fashion,jdsportsfashion
147,Colgate-Palmolive,OpticWhite
148,Burberry,Burberry
149,Lenovo,lenovo
150,Honeywell,honeywell
151,Porsche AG,Porsche
152,WarnerMedia Studios & Networks Group,Warnerbrosent
153,Diageo,Diageo_News
154,Goldman Sachs,goldmansachs
155,LG Electronics,LGUS
156,Michelin,MichelinTyres
157,Total,Total
158,BT Group,bt_uk
159,Estee Lauder Companies,EsteeLauder
160,Dyson,Dyson
161,Sun Pharma,null
162,Blackstone Group,blackstone
163,WarnerMedia,WarnerMediaGrp
164,Credit Suisse,creditsuisse
165,Tata Motors,TataMotors
166,EY,EYnews
167,YouTube,YouTube
